TypeOfFood;Energy;Protein;Fat;Water;VitaminA;VitaminB1;VitaminB2;VitaminC
Pork_leg_raw;290;27;20;52;0;0.7;0.3;0
Potato chips;250;4;11;47;0;0.1;0.04;10
Potato crisps;530;6;35;3;0;0.2;0.1;15
Potatoes_baked with skin;85;2;0;58;0;0.1;0.03;10
Potatoes_boiled;80;1.4;0;81;0;0.1;0.03;10
Potatoes_raw;90;2;0;76;0;0.1;0.04;15
Prawns_boiled;100;23;2;70;0;0;0;0
Prunes_raw;130;2;0;20;130;0.08;0.2;0
Prunes_stewed;75;1;0;50;80;0.04;0.08;0
Puffed wheat;325;14;1.3;2.5;0;0;0.06;0
Pumpkin_raw;15;0.6;0;95;300;0.04;0.04;5
Quiche Lorraine;400;15;28;35;150;0.1;0.2;0
Rabbit_stewed;90;14;4;33;0;0.05;0.1;0
Radishes;15;1;0;93;0;0.04;0;25
Raisins;250;1;0;21;0;0.1;0.08;0
Raspberries;25;1;0;83;15;0;0.03;25
Ready Brek;390;12;9;6;0;1.5;0.1;0
Red currants;20;1;0;83;15;0.04;0.06;40
Rhubarb_raw;5;0.5;0;94;0;0;0.03;10
Rhubarb_stewed;45;0.5;0;86;0;0;0.03;5
Rice Krispies;350;6;0.7;4;0;1;1.5;0
Rice pudding_canned;90;3.5;2.5;77;30;0.03;0.15;0
Rice_white_boiled;120;2;0.3;70;0;0;0;0
Rice_white,raw;360;6.5;1;12;0;0.1;0.03;0
Roe_cod;200;21;12;62;150;1.3;1;0
Roe_herring_soft_fried;240;21;16;52;0;0.2;0.5;0
Sago_raw;360;0.2;0.2;12;0;0;0;0
Salad cream;300;2;27;52;0;0;0;0
Salami;500;19;45;28;0;0.2;0.2;0
Salmon_canned;150;20;8;70;100;0.04;0.2;0
Salmon_raw;180;18;12;68;0;0.2;0.15;0
Salmon_smoked;140;25;5;65;0;0.2;0.2;0
Salmon_steamed;200;20;13;65;0;0.2;0.1;0
Sardines_canned in oil;220;24;14;58;0;0.04;0.4;0
Sardines_canned in tomato sauce;180;18;12;65;0;0;0.3;0
Satsumas_peeled;35;1;0;87;15;0.07;0;30
Sauce_brown;100;1;0;64;0;0;0;0
Sausage roll (flaky pastry);500;7;36;23;120;0.1;0.04;0
Sausage roll (short pastry);460;8;32;22;100;0.1;0.04;0
Sausage_liver sausage;300;13;27;52;8000;0.2;1.6;0
Sausages_beef_raw;300;10;24;50;0;0.03;0.1;0
Sausages_pork_raw;370;11;32;45;0;0.04;0.1;0
Sausages_beef_fried;270;13;18;48;0;0;0.1;0
Sausages_pork_fried;320;14;25;45;0;0;0.2;0
Sausages_pork_grilled;320;13;25;45;0;0;0.2;0
Sausages_beef_grilled;270;13;17;48;0;0;0.15;0
Sausages_frankfurters;270;10;25;60;0;0.1;0.1;0
Sausages_saveloys_boil;260;10;21;57;0;0.1;0.1;0
Scampi_fried in breadcrumbs;320;12;18;39;0;0.1;0.1;0
Scones;370;7.5;15;21;150;0;0.1;0
Semolina_raw;350;11;2;14;0;0.1;0;0
Sherry_sweet;140;0;0;90;0;0;0;0
Sherry_dry;115;0;0;90;0;0;0;0
Shredded Wheat;320;10.5;3;7.5;0;0.3;0.05;0
Shrimps_boiled;120;24;2.5;63;0;0.03;0.03;0
Skate_fried in batter;200;18;12;62;0;0.03;0.1;0
Soup_chicken_canned;60;2;4;87;0;0;0;0
Soup_mushroom_canned;50;1;4;89;0;0;0;0
Soup_oxtail_canned;45;2;2;88;0;0;0;0
Soup_tomato_canned;60;1;3;84;60;0;0;0
Soup_vegetable_canned;40;2;1;85;0;0;0;0
Soya flour_full fat;450;37;23.5;7;0;0.8;0.3;0
Soya flour_low fat;350;45;7;7;0;0.9;0.4;0
Spaghetti_boiled;120;4;0.3;72;0;0;0;0
Spaghetti_canned in tomato sauce;60;1.7;0.7;83;0;0;0;0
Spaghetti_raw;380;14;1;10;0;0.15;0.06;0
Special K breakfast cereal;360;19;1;2.7;0;1.2;1.7;0
Spinach_boiled;30;5;0.5;85;1000;0.1;0.15;25
Spirits (gin_vodka_whisky_etc);220;0;0;100;0;0;0;0
Sponge pudding;340;6;16;28;200;0;0.1;0
Sprats_fried;440;25;38;34;0;0;0;0
Spring greens_boiled;10;1.7;0;94;1000;0.1;0.2;30
Steak_stewed_canned;180;15;13;70;0;0;0.1;0
Strawberries_fresh;25;0.5;0;88;5;0;0.03;60
Suet pudding;300;4;18;36;20;0;0.06;0
Suet_shredded;830;0;87;1;50;0;0;0
Sugar;390;0;0;0;0;0;0;0
Sugar Puffs breakfast cereal;350;6;0.8;2;0;0;0.03;0
Sultanas;250;2;0;18;0;0.1;0.08;0
Swedes_raw;20;1;0;91;0;0.1;0.04;25
Swedes_boiled;20;1;0;92;0;0.04;0.03;20
Sweet potato_raw;90;1;0.6;70;700;0.1;0.06;25
Sweet potato_boiled;85;1;0.6;72;700;0.1;0.05;15
Sweetbread_fried with egg;230;19;15;60;0;0.03;0.25;18
Sweetbread_raw;130;15;8;76;0;0.03;0.3;20
Sweetcorn_canned;80;3;0.5;73;40;0.05;0.08;5
Sweetcorn_kernels only;125;4;2;65;40;0.2;0.1;10
Sweets_boiled;330;0;0;0;0;0;0;0
Tangerines_peeled;30;1;0;86;15;0.07;0;30
Tapioca_raw;360;0.4;0.1;10;0;0;0;0
Toffees;430;2;17;5;0;0;0;0
Tomato juice;15;0;0;93;80;0.06;0.03;20
Tomato ketchup;100;2;0;65;0;0;0;0
Tomatoes_canned;12;1;0;94;15;0.1;0.03;20
Tomatoes_fried;70;1;6;87;15;0.1;0.04;10
Tomatoes_raw;15;1;0;93;15;0.1;0.05;20
Tongue_canned;200;16;17;64;0;0.04;0.4;0
Tongue_pickled_boiled;290;20;24;49;0;0.06;0.3;0
Treacle tart;370;4;14;21;70;0.1;0;0
Treacle_black;260;1;0;29;0;0;0;0
Tripe_stewed;100;15;5;79;0;0;0.08;0
Trout_steamed;140;24;4.5;71;0;0;0;0
Tumips_raw;20;0.8;0;93;0;0.04;0.05;25
Tuna_canned in oil;290;23;22;55;0;0.04;0.1;0
Turkey_raw (boned);100;22;2;75;0;0.1;0.15;0
Turkey_raw (meat and skin);145;21;7;72;0;0.1;0.1;0
Turkey_roast (meat and skin);170;28;6.5;65;0;0.1;0.2;0
Turkey_roast_boned;140;29;3;68;0;0.1;0.2;0
Turnips_boiled;14;0.7;0;95;0;0.03;0.04;20
Veal cutlet_fried in breadcrumbs;220;31;8;55;0;0.1;0.2;0
Veal fillet_raw;100;21;3;75;0;0.1;0.25;0
Veal fillet_roast;230;32;12;55;0;0.06;0.3;0
Veal_jellied_canned;130;25;3;69;0;0.05;0.3;0
Venison_roast;200;35;6;57;0;0;0;0
Walnuts;530;11;52;23;0;0.3;0.15;0
Watercress;14;3;0;91;500;0.1;0.1;60
Watermelons;20;0.5;0;95;0;0;0;5
Weetabix breakfast cereal;340;11.5;3.5;3.8;0;1;1.5;0
White currants;30;1.5;0;83;0;0.04;0.06;40
Whitebait_fried in flour;530;20;48;24;0;0;0;0
Whiting_fried in breadcrumbs;190;18;10;63;0;0.1;0.2;0
Whiting_steamed;90;21;1;77;0;0.1;20;0
Wine_white_sweet;100;0;0;100;0;0;0;0
Wine_red;70;0;0;100;0;0;0;0
Wine_white_dry;65;0;0;100;0;0;0;0
Yam_boiled;120;1.5;0;66;0;0.05;0;2
Yam_raw;130;2;0;73;0;0.05;0;2
Yoghurt_flavoured;80;5;1;79;0;0.05;0.25;0
Yoghurt_natural;50;5;1;86;0;0.05;0.3;0
